east;north;height;T_CORR
629243.68416885;5009697.25484707;-2959.5;55
597695.63761776;5035856.58885077;-2138.8;74
620605.03986423;4913550.126973;-656;70
601734.96238113;5025397.24462205;-5142.15;112
506540.50951767;5037255.62499915;-2535;79
511434.36637897;5044650.63990539;-1341.3;41
599342.97162948;4998101.49275595;-3276.95;73
508186.60138375;4984755.26763454;-1502.9;55
577906.58516698;5016313.2486605;-1851.25;58
536415.39174072;5029069.77908645;-1824.65;56
574382.80316899;5033137.27485715;-2092.25;67
559317.19355562;5028477.30971206;-1614;57
526650.88890113;5038119.80506312;-2824.6;83
537241.65842433;5015009.60527273;-1936.7;67
564756.22109248;5001699.17160108;-1314.15;44
544087.48853251;5038573.58840274;-4971;120
551209.31637925;5044782.87145157;-4134.05;106
540929.04546545;5013565.9146598;-1817.15;69
545880.15544709;5012288.92871321;-1547.8;52
570596.8876885;5056738.25912611;-3498.95;99
481536.19849357;5043000.93147857;-5450.1;160
543855.76949398;5037072.08402409;-4189.7;109
403880.07220331;4959662.86283188;-3493.9;111
564208.36807085;4983517.60695089;-2830.45;75
540069.77704964;5032724.95711101;-1355.15;48
616306.20485205;4974986.3752803;-5390.4;104
481812.09769729;5041222.54643197;-5371.35;157
627093.53719138;4964122.99884147;-5936;112
532705.00438653;4991365.96775925;-2597.25;82
388992.83705355;4951257.71369486;-2210.15;72
438864.44777309;4979276.86404208;-2162.5;66
572937.90661841;4922263.94868978;-3125;108
548512.49055089;4970425.66764587;-3155.1;80
446246.97337843;5017428.21816352;-3054.4;93
483454.50398283;5033252.29792465;-5871;182
479243.719992;5036775.47729611;-5336;157
501645.32351521;5020643.66843176;-4605;133
517629.52445059;5000560.23656799;-3984.5;102
585562.9422528;4982856.97419825;-3731;87
626448.61215107;4945774.57899554;-1750.7;55
580858.43400258;4982073.49983652;-1244.8;44
534301.27591965;5069154.69450787;-3297.4;89
574071.32644516;5042955.91296622;-4997.95;121
565144.07762551;5037890.18719024;-4568;126
553919.79799556;5018096.24785601;-1464;54
510262.25666247;5016707.96403304;-4572.1;140
405980.86353008;5010220.96843936;-2459.4;74
562052.27528244;5025714.91979951;-1679.65;57
473069.85724248;4994438.37416682;-3547.9;95
551410.05589652;5038384.87104027;-6893.1;171
515158.40758478;5008441.37160803;-5492;145
590432.32742927;5019491.30776337;-2515.4;88
582933.9798597;5019255.02966412;-2233.05;64
576209.98668506;5004148.45602824;-1793.1;58
487535.59901587;5040841.93423269;-2861.5;84
528556.82253996;5045094.15039663;-3616;104
505467.8430386;5012624.88411686;-5342.1;135
629243.68416885;5009697.25484707;-4112.5;60
597695.63761776;5035856.58885077;-2638.4;76
620605.03986423;4913550.126973;-1293;78
601734.96238113;5025397.24462205;-5896.15;126
506540.50951767;5037255.62499915;-3278;97
599342.97162948;4998101.49275595;-3323.45;74
508186.60138375;4984755.26763454;-2415.9;68
577906.58516698;5016313.2486605;-2048.25;68
536415.39174072;5029069.77908645;-2632.65;77
574382.80316899;5033137.27485715;-2901.25;71
537241.65842433;5015009.60527273;-2442.7;75
564756.22109248;5001699.17160108;-1803.65;58
544087.48853251;5038573.58840274;-5600;145
551209.31637925;5044782.87145157;-4961.2;107
540929.04546545;5013565.9146598;-2405.65;82
481536.19849357;5043000.93147857;-6289.8;178
543855.76949398;5037072.08402409;-4629;116
544210.06657017;5038918.86855734;-5646.5;160
564208.36807085;4983517.60695089;-3416.7;90
540069.77704964;5032724.95711101;-1525.15;53
481812.09769729;5041222.54643197;-5868.65;167
627093.53719138;4964122.99884147;-6420;114
532705.00438653;4991365.96775925;-3345.93;95
572937.90661841;4922263.94868978;-4036.9;119
548512.49055089;4970425.66764587;-4373.7;106
483454.50398283;5033252.29792465;-6429;194
479243.719992;5036775.47729611;-6050;176
501645.32351521;5020643.66843176;-5230.5;143
448325.37183209;5016577.62169129;-3470.1;104
517629.52445059;5000560.23656799;-4048;103
585562.9422528;4982856.97419825;-4566.5;97
626448.61215107;4945774.57899554;-2158.7;55
580858.43400258;4982073.49983652;-1294.8;46
574071.32644516;5042955.91296622;-5492.95;146
565144.07762551;5037890.18719024;-5938;145
553919.79799556;5018096.24785601;-1725;58
510262.25666247;5016707.96403304;-4997.1;142
562052.27528244;5025714.91979951;-1781.65;62
473069.85724248;4994438.37416682;-4646.9;114
551410.05589652;5038384.87104027;-6997.4;174
515158.40758478;5008441.37160803;-6049.8;153
582933.9798597;5019255.02966412;-2404.05;69
576209.98668506;5004148.45602824;-2431.1;72
528556.82253996;5045094.15039663;-4067;108
629243.68416885;5009697.25484707;-4729.5;65
620605.03986423;4913550.126973;-2315;110
506540.50951767;5037255.62499915;-4354;128
599342.97162948;4998101.49275595;-3376.45;82
564756.22109248;5001699.17160108;-2441.65;72
544087.48853251;5038573.58840274;-5778;152
551209.31637925;5044782.87145157;-6364;157
481536.19849357;5043000.93147857;-6338.6;178
543855.76949398;5037072.08402409;-4880;118
544210.06657017;5038918.86855734;-5692;154
564208.36807085;4983517.60695089;-3483.1;92
540069.77704964;5032724.95711101;-2069.15;64
481812.09769729;5041222.54643197;-6144.8;175
532705.00438653;4991365.96775925;-3922.05;108
572937.90661841;4922263.94868978;-4132.4;128
548512.49055089;4970425.66764587;-5016.4;118
448325.37183209;5016577.62169129;-4314.8;124
517629.52445059;5000560.23656799;-4463.5;113
585562.9422528;4982856.97419825;-4880;103
580858.43400258;4982073.49983652;-1524.8;47
574071.32644516;5042955.91296622;-6682.95;175
565144.07762551;5037890.18719024;-6947;174
553919.79799556;5018096.24785601;-2520;79
473069.85724248;4994438.37416682;-5240.9;128
576209.98668506;5004148.45602824;-2501.1;72
528556.82253996;5045094.15039663;-4444;120
620605.03986423;4913550.126973;-2452;112
564756.22109248;5001699.17160108;-2511.65;72
544087.48853251;5038573.58840274;-5944;154
481536.19849357;5043000.93147857;-6465.6;182
543855.76949398;5037072.08402409;-4909;120
564208.36807085;4983517.60695089;-3749.7;95
540069.77704964;5032724.95711101;-2251.15;69
481812.09769729;5041222.54643197;-6387.93;181
517629.52445059;5000560.23656799;-5183;127
585562.9422528;4982856.97419825;-5604.3;112
580858.43400258;4982073.49983652;-1894.8;66
565144.07762551;5037890.18719024;-7126;177
473069.85724248;4994438.37416682;-5585.9;136
528556.82253996;5045094.15039663;-4644;135
544087.48853251;5038573.58840274;-6056;153
481536.19849357;5043000.93147857;-6487.6;186
543855.76949398;5037072.08402409;-5639;140
481812.09769729;5041222.54643197;-6458.43;186
448325.37183209;5016577.62169129;-5086.8;147
517629.52445059;5000560.23656799;-5926;142
585562.9422528;4982856.97419825;-5864.3;115
580858.43400258;4982073.49983652;-1986.8;67
543855.76949398;5037072.08402409;-5836;141
448325.37183209;5016577.62169129;-5416.8;149
585562.9422528;4982856.97419825;-5937.3;117
543855.76949398;5037072.08402409;-6225;160
448325.37183209;5016577.62169129;-5661.8;151
543855.76949398;5037072.08402409;-6355;156
542583.91426365;5032163.75705704;95.00000000;11.93000000
481536.19849357;5043000.93147857;175.00000000;11.45000000
577377.52191657;5050285.01010031;244.00000000;11.04000000
543855.76949398;5037072.08402409;106.00000000;11.86000000
544210.06657017;5038918.86855734;113.00000000;11.82000000
403880.07220331;4959662.86283188;300.00000000;10.70000000
564208.36807085;4983517.60695089;58.00000000;12.15000000
540069.77704964;5032724.95711101;96.00000000;11.92000000
385455.71810512;4956442.06913609;260.00000000;10.94000000
616306.20485205;4974986.37528030;25.00000000;12.35000000
481812.09769729;5041222.54643197;167.00000000;11.50000000
477545.78828933;5014217.68232634;113.00000000;11.82000000
627093.53719138;4964122.99884147;25.00000000;12.35000000
532705.00438653;4991365.96775925;71.00000000;12.07000000
388992.83705355;4951257.71369486;279.00000000;10.83000000
438864.44777308;4979276.86404208;136.00000000;11.68000000
518692.37191030;4956783.68420553;665.00000000;8.51000000
572937.90661841;4922263.94868978;942.00000000;6.85000000
548512.49055089;4970425.66764587;300.00000000;10.70000000
446246.97337843;5017428.21816352;146.00000000;11.62000000
483454.50398283;5033252.29792465;140.00000000;11.66000000
479243.71999200;5036775.47729611;152.00000000;11.59000000
501645.32351521;5020643.66843176;104.00000000;11.88000000
504354.60230180;5022944.60635060;107.00000000;11.86000000
448325.37183209;5016577.62169129;137.00000000;11.68000000
412730.95031628;4995279.83570780;308.00000000;10.65000000
499139.04738723;4969064.69503034;257.00000000;10.96000000
501982.05580865;4970697.89353573;345.00000000;10.43000000
517629.52445059;5000560.23656799;67.00000000;12.10000000
585562.94225280;4982856.97419825;28.00000000;12.33000000
626448.61215107;4945774.57899554;95.00000000;11.93000000
630058.30024040;4947713.14466427;61.00000000;12.13000000
580858.43400258;4982073.49983652;52.00000000;12.19000000
534301.27591965;5069154.69450787;199.00000000;11.31000000
469918.92512529;5065633.04110525;338.00000000;10.47000000
574071.32644516;5042955.91296622;142.00000000;11.65000000
565144.07762551;5037890.18719024;116.00000000;11.80000000
553919.79799556;5018096.24785601;74.00000000;12.06000000
510262.25666247;5016707.96403304;94.00000000;11.94000000
405980.86353008;5010220.96843936;212.00000000;11.23000000
530000.64280808;5007294.45267080;79.00000000;12.03000000
453936.25050294;5010779.32750021;125.00000000;11.75000000
530835.00734236;5000399.54476308;63.00000000;12.12000000
562052.27528244;5025714.91979951;76.00000000;12.04000000
453670.40447205;5003393.28761655;115.00000000;11.81000000
473069.85724248;4994438.37416682;101.00000000;11.89000000
551410.05589652;5038384.87104027;110.00000000;11.84000000
515158.40758478;5008441.37160803;83.00000000;12.00000000
596290.92679182;4947143.65346609;236.00000000;11.08000000
591252.63025739;4950225.85086409;231.00000000;11.12000000
596032.81080534;4948506.41325248;212.00000000;11.23000000
606080.15408593;4939074.83712443;433.00000000;9.90000000
612040.07252038;4941953.05407856;161.00000000;11.53000000
593215.53761564;4943243.22873235;305.00000000;10.67000000
600803.01950329;4942512.63379492;250.00000000;11.00000000
589100.92082707;5015516.67823732;54.00000000;12.18000000
590432.32742927;5019491.30776337;63.00000000;12.12000000
582933.97985970;5019255.02966412;64.00000000;12.11000000
576209.98668506;5004148.45602824;51.00000000;12.19000000
487535.59901587;5040841.93423269;167.00000000;11.50000000
528556.82253996;5045094.15039663;152.00000000;11.59000000
505467.84303860;5012624.88411686;86.00000000;11.98000000
578287.59836642;4962076.45027339;284.00000000;10.80000000
571003.18718538;4979934.33227852;57.00000000;12.16000000
581784.98272260;4987907.24116242;36.00000000;12.28000000
426074.59426327;5027465.23361095;300.00000000;10.70000000
434461.89459247;5035327.67950236;226.00000000;11.14000000
459140.46903800;5044740.13864229;199.00000000;11.31000000
629382.28117080;4927930.57213300;317.00000000;10.60000000
631572.98467868;4937564.62553664;130.00000000;11.72000000
629243.68416885;5009697.25484707;32.00000000;12.31000000
597695.63761776;5035856.58885077;114.00000000;11.82000000
620605.03986423;4913550.12697300;771.00000000;7.87000000
601734.96238113;5025397.24462205;73.00000000;12.06000000
506540.50951767;5037255.62499915;137.00000000;11.68000000
511434.36637897;5044650.63990539;156.00000000;11.56000000
599342.97162948;4998101.49275595;36.00000000;12.28000000
508186.60138375;4984755.26763454;85.00000000;11.99000000
577906.58516698;5016313.24866050;50.00000000;12.20000000
536415.39174072;5029069.77908645;82.00000000;12.01000000
574382.80316899;5033137.27485715;98.00000000;11.91000000
559317.19355562;5028477.30971206;85.00000000;11.99000000
526650.88890113;5038119.80506312;126.00000000;11.75000000
537241.65842433;5015009.60527273;78.00000000;12.03000000
564756.22109248;5001699.17160108;41.00000000;12.25000000
485470.13137973;4956706.29585824;188.00000000;11.37000000
447930.39324269;5007637.32349425;135.00000000;11.69000000
544087.48853250;5038573.58840274;112.00000000;11.83000000
551209.31637925;5044782.87145157;138.00000000;11.67000000
540929.04546546;5013565.91465980;75.00000000;12.05000000
545880.15544709;5012288.92871321;70.00000000;12.08000000
